objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
PhysicalPrimarySourceAnalysis,PhysicalPrimarySourceAnalysis.pdf,,,Physical Primary Source Analysis Assignment,Elizabeth James,2020,Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students examine and analyze a primary source.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,1,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
ExhibitLabelAssignment,ExhibitLabelAssignment.pdf,,,Exhibit Label Assignment,Elizabeth James,2020,Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students write an exhibit label.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,2,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
DigitalExhibitProject,DigitalExhibitProject.pdf,,,Digital Exhibit Project Assignment,Elizabeth James,2020,Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students propose and create a digital exhibit on any topic using the platform of their choice.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,3,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
DigitalPrimarySourceAnalysis,DigitalPrimarySourceAnalysis.pdf,,,Digital Primary Source Analysis Assignment,Elizabeth James,2020,"Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students analyze a digital primary source, either a born digital or a digitized source, and consider ways in which digital primary sources can be analyzed and understood in comparison to physical primary sources.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,4,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
CommonplaceBookEntry2,CommonplaceBookEntry2.pdf,,,Commonplace Book Entry #2 Assignment,Elizabeth James,2020,Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students write entries into a digital commonplace book of any platform or format on their understanding of the information ecosystem and how their understanding of physical and digital cultural heritage materials has changed throughout the course.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,5,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
FinalProjectPresentation,FinalProjectPresentation.pdf,,,Digital Exhibit Presentation Assignment,Elizabeth James,2020,Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students reflect on the digital exhibit they created for the course.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,6,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
FindingAidAnalysis,FindingAidAnalysis.pdf,,,Finding Aid Analysis Activity,Elizabeth James,2020,"In this activity, students analyze a finding aid and (optionally) compare the finding aid to the collection it describes to consider audiences for archival access documents and descriptive content.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,7,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
PersonalDigitalArchivesPlan,PersonalDigitalArchivesPlan.pdf,,,Personal Digital Archives Plan Activity,Elizabeth James,2020,"In this activity, students create a plan for ensuring the preservation of their digital files.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,8,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
ExhibitLabelGalleryActivity,ExhibitLabelGalleryActivity.pdf,,,Exhibit Label Gallery Activity,Elizabeth James,2020,"In this activity, students examine the exhibit labels they have written in the form of a gallery that is later remixed to form a new narrative to learn about the impact of physical proximity, tone, and more for items and exhibit labels.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,9,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
CollectionsAsDataFirstLook,CollectionsAsDataFirstLook.pdf,,,Archival Collections as Data: A First Look Activity,Elizabeth James,2020,"In this activity, students consider the usage of metadata describing digitized photos from the Jim Peppler Southern Courier Collection at the Alabama Department of Archives and History as data. Topics of note include bias in metadata creation and data visualization.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,10,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
RrepositoryDesignActivity,RrepositoryDesignActivity.pdf,,,Repository Design Activity,Elizabeth James,2020,"In this activity, students design a digital repository and consider audiences, collected content, and uses of the repository as well as implications of those decisions.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,11,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
DigitalRepositoryAnalysis,DigitalRepositoryAnalysis.pdf,,,Digital Repository Analysis Activity,Elizabeth James,2020,"In this activity, students will analyze digital repositories maintained by archives, libraries, and museums to consider the efficacy and variety of ways that cultural heritage materials are made accessible to individuals outside of the original institution.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,12,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
YourPhysicalPockets,YourPhysicalPockets.pdf,,,History in Your Home Activity,Elizabeth James,2020,This activity allows students to look at the physical items they interact with every day and examine them as though they were future historians looking at primary sources.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,13,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
YourDigitalHistory,YourDigitalHistory.pdf,,,Your Digital History Activity,Elizabeth James,2020,"The ""Your Digital History"" activity allows students to consider ways in which their digital lives might be understood and studied by future historians.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,14,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
FYS100Syllabus,FYS100Syllabus.pdf,,,First Year Seminar: Digital Archives Syllabus,Elizabeth James,2020,"Syllabus for the required first year course, First Year Seminar (FYS) at Marshall University. FYS courses use central objectives and a selection of readings that are augmented with readings and activities based on a theme that draws from the expertise of the instructor. This iteration of the course focuses on physical and digital archives and imaged archives beyond these types.",Teaching Materials,"Huntington, WV",38.413651,-82.44673,,15,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
CommonplaceBookEntry1,CommonplaceBookEntry1.pdf,,,Commonplace Book Entry #1 Assignment,Elizabeth James,2020,Overview and instructions for an assignment for First Year Seminar: Digital Archives in which first year students write entries into a physical commonplace book on the purpose and reality of higher education.,Teaching Materials,"Huntington, WV",38.413651,-82.44673,,16,Text,application/pdf,eng,Educational use permitted. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
edj001,stub.png,,,Review of Advocacy and Awareness for Archivists,Elizabeth James,2020,"“Review of Advocacy and Awareness for Archivists” in the Journal of Contemporary Archival Studies, December 2020. https://elischolar.library.yale.edu/jcas/vol7/iss1/21/",Scholarship,"New Haven, CT",41.3083,-72.92992,,17,Text,application/pdf,eng,,https://rightsstatements.org/page/InC/1.0/
edj002,stub.png,,,Institutional Repositories and Archives Partnerships and Futures,Elizabeth James; Lindsey Harper; Lori Thompson; Gretchen Beach,2020,"""Institutional Repositories and Archives Partnerships and Futures” with Lindsey M. Harper, Lori Thompson, and Gretchen Beach in the Mid-Atlantic Archivist, Vol. 49 No. 3, Summer 2020. https://marac.memberclicks.net/assets/maa/maracsummer2020.pdf",Scholarship,"Carlisle, PA",40.201,-77.19655,,18,Text,application/pdf,eng,,https://rightsstatements.org/page/InC/1.0/
edj003,stub.png,,,The True University: Yale’s Library from 1843 to 1931,Elizabeth James,2015,"“The True University: Yale’s Library from 1843 to 1931,” undergraduate history thesis, Yale University, New Haven, CT, Spring 2015. https://elischolar.library.yale.edu/mssa_yale_history/5/",Scholarship,"New Haven, CT",41.3083,-72.92992,,19,Text,application/pdf,eng,,https://rightsstatements.org/page/InC/1.0/
