identifier,collection,abstract,authors,subject,title
1,0099: Cabell-Wayne Historical Society Collection,"Benjamin P. Driggs, 12x20cm March 9th, 1829 921 Sixth Avenue,",,"People: Driggs, Benjamin P. Subject Terms:Huntington, W. Va.",Benjamin P. Driggs
2,0818: Floyd Hoard Stark & Pitt Hoard Stark Collection,"Seating chart and plan of U.S. House of Representatives, 1834-35. James K. Polk was speaker of the House, and others on the chart pinpoint the date as 1834-1835.",,"Subject Terms: United States. Congress. House United States House of Representatives.  People: Polk, James K.; Burr, David H, ","Seating chart and plan of U.S. House of Representatives, 1834-35"
3,0484: William Wallace Photograph Collection,"Frances Dannenberg Beuhring, wife of F. G. L. Beuhring, from a painting, b&w. Back reads: ""wife of F. G. L. Beuhring"" photo appears in Wallace's ""Cabell Annals and Families,"" p.350.",,"Subject Terms: Beuhring family  People: Beuhring, Francis Dannenberg Beuhring, Fredrick G.L. ","Frances Dannenberg Beuhring, wife of F. G. L. Beuhring"
4,0418: Whittaker-Glanville Family Papers,"Ambrotype of Annie Heacock, ca. 1849-1850, b&w. Note attached reads: Aunt Annie Heacock, born 1mo(?)-1- 1838 at Jenkintown, Pa, died 2mo-1-1932 at Wyncote, Pa.",,"Subject Terms: Ambrotypes People: Heacock, Annie ","Ambrotype of Annie heacock, ca. 1849-50"
5,0418: Whittaker-Glanville Family Papers,"Hand colorized ambrotype of Gayner Heacock, ca. 1849-1850, b&w. Note attached reads: Aunt Gayner Heacock born 9-27-1827 at jenkintown Pa, died 6-11-1911 at Wyncote, Pa.",,"Subject Terms: Ambrotypes People: Heacock,Gayner ","Hand colorized ambrotype of Gayner Heacock, ca. 1849-50"
6,0703: Rosanna Blake Collection,"Cased tintype of unidentified soldier in pre-Civil War uniform, with epaulets. Shako style hat. Possibly an older ferrotype. Large, ornate letter ""C"" on his belt buckle.",,"Subject Terms: U.S. History, 1815-1861 Military uniforms Soldiers ",Unidentified U.S. soldier in pre-Civil War uniform with epaulets and Shako style hat.
7,0703: Rosanna Blake Collection,"""A New map of Alabama with its Roads and distances,"" in small pocket book form, 1853, col. Map folds into pocket size, glued to hard cover.",,"Subject Terms: Alabama Map of Alabama Thomas Cowperthwait Co. Maps People: Cowperthwait, Thomas ","""A New map of Alabama with its Roads and distances,"" in small pocket book form, 1853, col."
8,0227: Marshall University Regional Photograph Collection,"Samuel W. Johnston House, built on Savage Grant, Cabell Co.,(Va.) W.Va., b&w. mounted on cardboard Photo found in Wallace's ""Cabell Annals and Families,"" p.418.",,"Subject Terms: Cabell Co., W. Va. Savage Grant Houses  People:Johnston, Samuel ","Samuel W. Johnston House, built on Savage Grant, Cabell co.,W.Va."
9,"0236: Fred B. Lambert Papers, 1809-1964","S.W. Johnston,7.5x12cm Property of F.B. Lambert",,"People: Johnston, S.W. Subject Terms: Huntington, W. Va. ",S.W. Johnston
10,0703: Rosanna Blake Collection,"Carte de visite of Confederate General David Emanuel Twiggs. In his Mexican War (1848) uniform. Made before 1862. Twiggs fought in the War of 1812, Mexican War of 1848, and Civil War. Original image in the Library of Congress.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Charles D. Fredricks & Co. People: Twiggs, David Emanuel (1790-1862) ",Robert A. Toombs Carte de visite
11,0703: Rosanna Blake Collection,Carte de visite of Confederate General Robert E. Lee. No backplate. This is from a steel engraving that appeared in Frank Leslie's weekly publication. Supposedly from a daguerreotype made during the Mexican War.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals Studio: Chas. Magnus People: Lee, Robert E. (Robert Edward), 1807-1870 ",Robert E. Lee Carte de visite
12,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Thomas Jonathan ""Stonewall"" Jackson. From a pre-Civil War image, in his Mexican War uniform. Image is of Jackson in his Mexican War uniform.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals Studio: Brady National Gallery People: Jackson, Thomas Jonathan ""Stonewall"" ",Stonewall Jackson Carte de visite
13,0703: Rosanna Blake Collection,"Ambrotype on glass of Right Rev. Richard Vincent Whelan, Catholic Bishop of Wheeling, W.Va. Cased in standard ""Union"" frame case.",,"Subject Terms: U.S. History, 1815-1861 Wheeling, W. Va. Ambrotype People: Whelan, Rev. Richard Vincent ","Rev. Richard Vincent Whelan, Bishop of Wheeling"
